Dataset,Model,N,Answer accuracy,95% CI,Parse coverage,SPACE coverage,SPACE accuracy,False commitment
medmcqa,Qwen2.5-7B-Instruct,1000,0.561,"[0.530, 0.592]",1.0,1.0,0.635,0.0501
medmcqa,Phi-4-mini-instruct,1000,0.489,"[0.458, 0.520]",0.997,0.994,0.5191,0.3465
medmcqa,DeepSeek-R1-Distill-Qwen-32B,1000,0.34,"[0.311, 0.369]",0.819,0.26,0.9923,0.0522
medmcqa,biomistral_biomistral_7b,1000,0.164,"[0.141, 0.187]",0.476,0.011,0.0,0.0
medqa,Qwen2.5-7B-Instruct,1000,0.596,"[0.566, 0.626]",1.0,0.999,0.4324,0.1361
medqa,Phi-4-mini-instruct,1000,0.517,"[0.486, 0.548]",0.99,0.982,0.4216,0.2156
medqa,DeepSeek-R1-Distill-Qwen-32B,1000,0.255,"[0.228, 0.282]",0.594,0.404,0.995,0.0118
medqa,biomistral_biomistral_7b,1000,0.17,"[0.147, 0.193]",0.42,0.001,1.0,0.0
pubmedqa,Qwen2.5-7B-Instruct,1000,0.753,"[0.726, 0.780]",1.0,1.0,0.906,0.1215
pubmedqa,Phi-4-mini-instruct,1000,0.724,"[0.696, 0.752]",0.987,1.0,0.92,0.654
pubmedqa,DeepSeek-R1-Distill-Qwen-32B,1000,0.568,"[0.537, 0.599]",0.751,0.665,0.997,0.0
pubmedqa,biomistral_biomistral_7b,1000,0.058,"[0.044, 0.072]",0.103,0.0,,0.0
