Model,Dataset,Method,N,Answer missing,Answer missing rate,SPACE missing,SPACE missing rate,Wrong parsed answer,Correct parsed answer,Multiple JSON objects,Multiple JSON rate,High-conf wrong
Qwen2.5-7B,MedQA,Direct,5000,51,0.0102,5000,1.0,2099,2850,16,0.0032,2095
Qwen2.5-7B,MedQA,CoT,5000,26,0.0052,5000,1.0,1899,3075,39,0.0078,1895
Qwen2.5-7B,MedQA,HypMed-v3,5000,126,0.0252,0,0.0,2576,2298,4980,0.996,285
Qwen2.5-7B,MedQA,Fusion,5000,0,0.0,0,0.0,2035,2965,4980,0.996,262
Qwen2.5-7B,MedMCQA,Direct,4183,34,0.0081,4183,1.0,1891,2258,11,0.0026,1886
Qwen2.5-7B,MedMCQA,CoT,4183,7,0.0017,4183,1.0,1819,2357,34,0.0081,1814
Qwen2.5-7B,MedMCQA,HypMed-v3,4183,93,0.0222,0,0.0,2155,1935,4179,0.999,102
Qwen2.5-7B,MedMCQA,Fusion,4183,0,0.0,0,0.0,1839,2344,4179,0.999,100
Qwen2.5-7B,PubMedQA,Direct,1000,0,0.0,1000,1.0,253,747,0,0.0,253
Qwen2.5-7B,PubMedQA,CoT,1000,0,0.0,1000,1.0,242,758,0,0.0,242
Qwen2.5-7B,PubMedQA,HypMed-v3,1000,0,0.0,0,0.0,306,694,1000,1.0,81
Qwen2.5-7B,PubMedQA,Fusion,1000,0,0.0,0,0.0,247,753,1000,1.0,73
Phi-4-mini,MedQA,Direct,5000,2860,0.572,5000,1.0,1014,1126,2,0.0004,785
Phi-4-mini,MedQA,CoT,5000,944,0.1888,5000,1.0,1955,2101,0,0.0,1939
Phi-4-mini,MedQA,HypMed-v3,5000,492,0.0984,77,0.0154,2541,1967,4722,0.9444,1012
Phi-4-mini,MedQA,Fusion,5000,63,0.0126,77,0.0154,2385,2552,4722,0.9444,835
Phi-4-mini,MedMCQA,Direct,4183,1423,0.3402,4183,1.0,1498,1262,2,0.0005,1414
Phi-4-mini,MedMCQA,CoT,4183,1017,0.2431,4183,1.0,1605,1561,1,0.0002,1572
Phi-4-mini,MedMCQA,HypMed-v3,4183,130,0.0311,20,0.0048,2285,1768,3390,0.8104,886
Phi-4-mini,MedMCQA,Fusion,4183,9,0.0022,20,0.0048,2148,2026,3390,0.8104,778
Phi-4-mini,PubMedQA,Direct,1000,231,0.231,1000,1.0,234,535,0,0.0,232
Phi-4-mini,PubMedQA,CoT,1000,13,0.013,1000,1.0,274,713,0,0.0,274
Phi-4-mini,PubMedQA,HypMed-v3,1000,321,0.321,0,0.0,409,270,993,0.993,28
Phi-4-mini,PubMedQA,Fusion,1000,1,0.001,0,0.0,290,709,993,0.993,19
